company       dividend             price   profitability

ohl           0.349                1.0645  0.3278534523250352
azkoyen       1.217                6.52    0.18665644171779144
naturhouse    0.28                 2.1     0.13333333333333333
atresmedia    0.45                 3.458   0.13013302486986697
ence          0.263                3.624   0.07257174392935982
enagas        1.53                 22.51   0.06796979120390936
repsol        0.9159999999999999   14.23   0.06437104708362613
telefonica    0.4                  6.249   0.06401024163866219
santander     0.23                 3.7565  0.06122720617596167
mapfre        0.1457               2.4     0.060708333333333336
bankia        0.1158               1.9115  0.06058069578864766
caixabank     0.17                 2.885   0.05892547660311959
naturgy       1.3                  22.27   0.05837449483610238
r.e.c.        0.9831000000000001   17.39   0.056532489936745256
alantra_part  0.8759               15.5    0.05650967741935484
zardoya_otis  0.4                  7.16    0.0558659217877095
mediaset      0.3156               5.67    0.05566137566137566
cash          0.0788               1.45    0.054344827586206894
bbva          0.26                 5.01    0.051896207584830344
prim          0.5779               11.55   0.05003463203463203
lingotes      0.7                  14.0    0.049999999999999996
aperam        1.3596000000000001   28.03   0.04850517302889761
bme           1.5699999999999998   34.46   0.04556006964596633
bankinter     0.2929               6.584   0.04448663426488457
renta_4       0.3                  6.84    0.043859649122807015
iag           0.31                 7.256   0.042723263506063945
prosegur      0.15710000000000002  3.68    0.04269021739130435
aena          6.93                 168.25  0.04118870728083209
sacyr         0.105                2.604   0.04032258064516129
baviera       0.58                 14.5    0.039999999999999994
unicaja       0.0379               0.9545  0.039706652697747515
iberdrola     0.351                8.954   0.03920035738217556
acciona       3.5226               90.25   0.039031578947368424
fcc           0.4                  10.8    0.037037037037037035
viscofan      1.7199999999999998   47.9    0.03590814196242171
euskaltel     0.31000000000000005  8.86    0.03498871331828443
gestamp       0.135                4.062   0.03323485967503693
d.e.anclaje   0.2804               8.45    0.033183431952662726
nh_hotels     0.15                 4.702   0.031901318587834966
merlin_prop.  0.4027               12.71   0.03168371361132966
nicol.correa  0.15                 4.77    0.031446540880503145
miquel_costa  0.4881               16.1    0.0303167701863354
acerinox      0.3                  9.9     0.0303030303030303
endesa        0.7                  23.17   0.03021148036253776
renta_corp.   0.09340000000000001  3.13    0.029840255591054316
ebro_foods    0.5700000000000001   19.55   0.02915601023017903
elecnor       0.31579999999999997  10.85   0.029105990783410137
cie_automot.  0.62                 21.44   0.02891791044776119
b.sabadell    0.03                 1.056   0.028409090909090908
iberpapel     0.7                  25.2    0.027777777777777776
inditex       0.88                 31.93   0.027560288130285
faes          0.13999999999999999  5.13    0.02729044834307992
gr.c.occiden  0.8224               31.3    0.02627476038338658
ferrovial     0.718                27.5    0.026109090909090908
vocento       0.032                1.235   0.025910931174089068
tubacex       0.069                2.88    0.023958333333333335
ercros        0.06                 2.56    0.0234375
ccep          1.06                 45.7    0.023194748358862143
melia_hotels  0.183                7.985   0.022917971195992485
vidrala       2.1162               92.9    0.02277933261571582
liberbank     0.0072               0.3386  0.021264028352037802
corp.fi.alba  1.0                  47.75   0.020942408376963352
c.a.f.        0.765                40.45   0.018912237330037083
reig_jofre    0.045                2.49    0.018072289156626505
inm.colonial  0.2                  11.43   0.017497812773403325
logista       0.35                 20.46   0.01710654936461388
grifols_b     0.3552               21.5    0.01652093023255814
amadeus       1.175                73.28   0.01603438864628821
applus_servi  0.15                 11.14   0.013464991023339317
almirall      0.198                14.76   0.013414634146341465
acs           0.45                 34.64   0.012990762124711317
airbus_se     1.65                 132.42  0.012460353420933394
inm.del_sur   0.12                 11.0    0.010909090909090908
grifols       0.3451               32.6    0.010585889570552147
reno_m.sa     0.007                0.804   0.008706467661691543
siemens_gam   0.0514               14.97   0.0034335337341349363
rovi          0.0798               24.8    0.0032177419354838706

