company,date,exercice,concept,amount,price
abengoa_(b),17/04/2015,2014,Unico,0.1130,"0,0098"
abengoa_(b),09/04/2014,2013,Unico,0.1110,"0,0098"
abengoa_(b),09/04/2013,2012,Unico,0.0720,"0,0098"
dia,17/07/2018,2017,Unico,0.1800,"0,0915"
dia,18/07/2017,2016,Unico,0.2100,"0,0915"
dia,14/07/2016,2015,Unico,0.2000,"0,0915"
dia,16/07/2014,2013,Unico,0.1600,"0,0915"
dia,16/07/2013,2012,Unico,0.1300,"0,0915"
dia,16/07/2012,2011,A Cuenta,0.1100,"0,0915"
"deoleo,_s.a.",18/06/2008,2007,Unico,0.0360,"0,0242"
"deoleo,_s.a.",04/07/2007,2006,Unico,0.0182,"0,0242"
"deoleo,_s.a.",12/07/2006,2005,Unico,0.0182,"0,0242"
"deoleo,_s.a.",11/05/2005,2004,Unico,0.1200,"0,0242"
"deoleo,_s.a.",09/01/2004,2003,Unico,0.1000,"0,0242"
dominion,,,,0.0000,"3,7000"
corp.fi.alba,29/10/2019,2019,A Cuenta,0.5000,"45,6000"
corp.fi.alba,24/06/2019,2018,Complementario,0.5000,"45,6000"
corp.fi.alba,29/10/2018,2018,A Cuenta,0.5000,"45,6000"
corp.fi.alba,22/06/2018,2017,Complementario,0.5000,"45,6000"
corp.fi.alba,26/10/2017,2017,A Cuenta,0.5000,"45,6000"
corp.fi.alba,21/06/2017,2016,Complementario,0.5000,"45,6000"
corp.fi.alba,31/10/2016,2016,A Cuenta,0.5000,"45,6000"
corp.fi.alba,15/06/2016,2015,Complementario,0.5000,"45,6000"
corp.fi.alba,28/10/2015,2015,A Cuenta,0.5000,"45,6000"
corp.fi.alba,15/06/2015,2014,Complementario,0.5000,"45,6000"
corp.fi.alba,30/10/2014,2014,A Cuenta,0.5000,"45,6000"
corp.fi.alba,16/06/2014,2013,Complementario,0.5000,"45,6000"
corp.fi.alba,16/10/2013,2013,A Cuenta,0.5000,"45,6000"
corp.fi.alba,17/06/2013,2012,Complementario,0.5000,"45,6000"
corp.fi.alba,30/10/2012,2012,A Cuenta,0.5000,"45,6000"
corp.fi.alba,11/06/2012,2011,Complementario,0.5000,"45,6000"
corp.fi.alba,28/10/2011,2011,A Cuenta,0.5000,"45,6000"
corp.fi.alba,15/06/2011,2010,Complementario,0.5000,"45,6000"
